	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
HORVU.MOREX.r3.1HG0003900	1012.51803318137	0.0744206339330203	0.198695188180611	0.374546734696832	0.707997593317378	0.999457307108351
HORVU.MOREX.r3.1HG0003910	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0003920	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0003950	2734.30506105452	0.162017177499542	0.212486281100327	0.762483002011051	0.445771784353158	0.999457307108351
HORVU.MOREX.r3.1HG0003970	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0003980	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0003990	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0004000	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0004020	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0004030	28.9526764473161	0.793441581930424	0.516380724782113	1.53654376287034	0.124405073142135	0.877613274530349
HORVU.MOREX.r3.1HG0004060	0.337363605808101	-1.91202681251289	4.03852462603024	-0.473446862299404	0.635894403094606	NA
HORVU.MOREX.r3.1HG0004110	31.847605604574	-1.3995248294201	0.563448565200179	-2.4838555209079	0.0129968527231418	0.412584573322232
HORVU.MOREX.r3.1HG0004130	0.303771452268153	1.71602996117968	4.0458098956377	0.424149924352589	0.671456477945051	NA
HORVU.MOREX.r3.1HG0004150	456.66499658185	-0.0430563849405581	0.191638285837374	-0.224675276928203	0.822231899064974	0.999457307108351
HORVU.MOREX.r3.1HG0004160	83.7907418433588	-0.0592126246777511	0.314177057607486	-0.188468964375266	0.850509042378168	0.999457307108351
HORVU.MOREX.r3.1HG0004210	215.84727419307	-0.206625216929342	0.261537576199421	-0.790040268522603	0.429504251579749	0.999457307108351
HORVU.MOREX.r3.1HG0004220	4.24338470119772	0.821930202369419	2.02353883714297	0.406184545254344	0.684607008750116	NA
HORVU.MOREX.r3.1HG0004230	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0004240	60.3186371401678	-0.0894040866681467	0.410348845229025	-0.217873372150586	0.82752777471278	0.999457307108351
